filename,energy
FormIII_m_1_gas_free,-1198.37354509
FormIII_m_1_gas_restricted,-1198.36967951
FormIII_m_1_water_free,-1198.40924959
FormIII_m_1_water_restricted,-1198.40702067
FormII_m_1_gas_free,-1198.36898435
FormII_m_1_gas_restricted,-1198.36693519
FormII_m_1_water_free,-1198.4056227
FormII_m_1_water_restricted,-1198.40441408
FormIV_m_1_gas_free,-1198.36898435
FormIV_m_1_gas_restricted,-1198.3663386
FormIV_m_1_water_free,-1198.40562268
FormIV_m_1_water_restricted,-1198.40458828
FormIV_m_2_gas_free,-1198.37040927
FormIV_m_2_gas_restricted,-1198.36920269
FormIV_m_2_water_free,-1198.40752524
FormIV_m_2_water_restricted,-1198.40298551
FormIX_m_1_gas_free,-1198.36898435
FormIX_m_1_gas_restricted,-1198.3663504
FormIX_m_1_water_free,-1198.4056227
FormIX_m_1_water_restricted,-1198.40507945
FormVIII_m_1_gas_free,-1198.36898433
FormVIII_m_1_gas_restricted,-1198.36724664
FormVIII_m_1_water_free,-1198.40562274
FormVIII_m_1_water_restricted,-1198.40124076
FormVII_m_1_gas_free,-1198.36450623
FormVII_m_1_gas_restricted,-1198.3583736
FormVII_m_1_water_free,-1198.40565384
FormVII_m_1_water_restricted,-1198.39962899
FormVII_m_2_gas_free,-1198.36898433
FormVII_m_2_gas_restricted,-1198.36705982
FormVII_m_2_water_free,-1198.40562267
FormVII_m_2_water_restricted,-1198.40192669
FormVI_m_1_gas_free,-1198.36898433
FormVI_m_1_gas_restricted,-1198.36765129
FormVI_m_1_water_free,-1198.40562277
FormVI_m_1_water_restricted,-1198.40479089
FormV_m_1_gas_free,-1198.36898433
FormV_m_1_gas_restricted,-1198.36791116
FormV_m_1_water_free,-1198.40562275
FormV_m_1_water_restricted,-1198.40225208
FormX_m_1_gas_free,-1198.37354509
FormX_m_1_gas_restricted,-1198.37049828
FormX_m_1_water_free,-1198.40925004
FormX_m_1_water_restricted,-1198.40453737
GM_m_1_gas_free,-1198.37330705
GM_m_1_gas_restricted,-1198.36974328
GM_m_1_water_free,-1198.40897443
GM_m_1_water_restricted,-1198.40388855
