Refcode,Delta_conformational_energy(kJ/mol),Rel_free_energy,Rugosity,Delta_strain_energy(kJ/mol)
FormIII,-0.6249740202965768,7.168103,-0.0705544019217282,0.7924021552887552
FormII,11.349248850269078,14.259004,-0.1218568254414412,-3.976608555487587
FormIV,11.349248850269078,3.758917,-0.2009138744543352,-2.410261510523128
FormIX,11.349248850269078,2.612444,-0.1773923482300178,-2.441242410624
FormVIII,11.349301359713763,5.043976,-0.151381724970313,-4.794373040001915
FormVII,23.10655291008697,1.081492,-0.173435983048683,6.744541929692787
FormVI,11.349301359713763,5.446982,-0.1537091057966399,-5.856781614573151
FormV,11.349301359713763,4.246201,-0.2337153288446676,-6.53907029966831
FormX,-0.6249740202965768,2.016176,-0.1070609337527576,-1.3572784797729582
GM,0.0,0.0,-0.2234895729589462,0.0
