Refcode,Delta_conformational_energy(kJ/mol),Rel_free_energy,Rugosity
FormIII,-0.6249740202965768,7.168103,-0.07055440192172827
FormII,11.349248850269078,14.259004,-0.1218568254414412
FormIV,11.349248850269078,3.758917,-0.20091387445433528
FormIX,11.349248850269078,2.612444,-0.17739234823001787
FormVIII,11.349301359713763,5.043976,-0.15138172497031302
FormVII,23.106552910086975,1.081492,-0.17343598304868305
FormVI,11.349301359713763,5.446982,-0.15370910579663993
FormV,11.349301359713763,4.246201,-0.2337153288446676
FormX,-0.6249740202965768,2.016176,-0.1070609337527576
GM,0.0,0.0,-0.22348957295894625
