Refcode,Delta_strain_energy(kJ/mol),Rel_free_energy,Rugosity
FormIII,0.7924021552887552,7.168103,-0.07055440192172827
FormII,-3.976608555487587,14.259004,-0.1218568254414412
FormIV,-2.410261510523128,3.758917,-0.20091387445433528
FormIX,-2.4412424106239996,2.612444,-0.17739234823001787
FormVIII,-4.794373040001915,5.043976,-0.15138172497031302
FormVII,6.744541929692787,1.081492,-0.17343598304868305
FormVI,-5.856781614573151,5.446982,-0.15370910579663993
FormV,-6.53907029966831,4.246201,-0.2337153288446676
FormX,-1.3572784797729582,2.016176,-0.1070609337527576
GM,0.0,0.0,-0.22348957295894625
