Refcode,Delta_conformational_energy(kJ/mol),Rel_free_energy,Rugosity,Delta_strain_energy(kJ/mol)
FormIII,-0.72243258000276,7.168103,-0.0705544019217282,-7.500948480379861
FormII,8.799967114604442,14.259004,-0.1218568254414412,-10.179746129616092
FormIV,8.800019624646097,3.758917,-0.2009138744543352,-1.4339168249764498
FormIX,8.799967114604442,2.612444,-0.1773923482300178,-11.926675064560412
FormVIII,8.799862095118101,5.043976,-0.151381724970313,-1.8480894504978096
FormVII,8.80004587996541,1.081492,-0.173435983048683,2.4652657346828164
FormVI,8.799783329757133,5.446982,-0.1537091057966399,-11.168876999858869
FormV,8.799835839798789,4.246201,-0.2337153288446676,-4.503283854814526
FormX,-0.7236140550445498,2.016176,-0.1070609337527576,-0.9798628553527352
GM,0.0,0.0,-0.2234895729589462,0.0
