Refcode,Delta_conformational_energy(kJ/mol),Rel_free_energy,Rugosity
FormIII,-0.72243258000276,7.168103,-0.07055440192172827
FormII,8.799967114604442,14.259004,-0.1218568254414412
FormIV,8.800019624646097,3.758917,-0.20091387445433528
FormIX,8.799967114604442,2.612444,-0.17739234823001787
FormVIII,8.799862095118101,5.043976,-0.15138172497031302
FormVII,8.80004587996541,1.081492,-0.17343598304868305
FormVI,8.799783329757133,5.446982,-0.15370910579663993
FormV,8.799835839798789,4.246201,-0.2337153288446676
FormX,-0.7236140550445498,2.016176,-0.1070609337527576
GM,0.0,0.0,-0.22348957295894625
