Refcode,Delta_strain_energy(kJ/mol),Rel_free_energy,Rugosity
FormIII,-7.500948480379861,7.168103,-0.07055440192172827
FormII,-10.179746129616092,14.259004,-0.1218568254414412
FormIV,-1.4339168249764498,3.758917,-0.20091387445433528
FormIX,-11.926675064560413,2.612444,-0.17739234823001787
FormVIII,-1.8480894504978096,5.043976,-0.15138172497031302
FormVII,2.4652657346828164,1.081492,-0.17343598304868305
FormVI,-11.168876999858867,5.446982,-0.15370910579663993
FormV,-4.503283854814526,4.246201,-0.2337153288446676
FormX,-0.9798628553527351,2.016176,-0.1070609337527576
GM,0.0,0.0,-0.22348957295894625
