Refcodes,Delta_conformational_energy(kJ/mol),components
ABADIS01_ABADIS,0.5770533942492193,1_1
ABEFUJ01_ABEFUJ,15.30637619522679,1_1
ABEYOY01_ABEYOY,2.289094685217151,1_1
ABIZAP01_ABIZAP,2.625472234285553e-05,1_1
ACAPIE01_ACAPIE,0.00036757029158707155,1_1
ACRDIN05_ACRDIN06,0.00018903609026210688,2_1
ACULIV01_ACULIV,2.8232211538434626,1_1
ADIPAC05_ADIPAC12,0.03848983008788309,2_2
AGAQUW01_AGAQUW,0.03295002517052126,1_1
AGOQEU01_AGOQEU,8.926695142008612e-05,1_2
AHAPEG01_AHAPEG,0.00018378484730874334,1_1
AHEGEZ01_AHEGEZ,5.2510041655295936e-05,1_1
AMEXOH01_AMEXOH,11.231109226387105,1_1
AMOCMS10_AMOCMS11,17.37891963998777,1_1
AMUBIV02_AMUBIV,3.4131736015297065e-05,1_1
ANISAZ05_ANISAZ07,0.9478422569046643,1_1
ANONEX01_ANONEX02,6.133036725230795,1_1
ANONEX01_ANONEX,3.9103934454935825,2_1
ANONEX02_ANONEX,6.133141745314106,1_1
ANUKAW01_ANUKAW,0.0,1_1
APGPAL01_APGPAL,32.139926975385606,1_1
APLYSU10_APLYSU11,7.876536096773634e-05,1_1
APUDEV01_APUDEV,40.44863678540355,1_1
APUQOT01_APUQOT,0.5278830278971327,1_1
AQEMIT02_AQEMIT,0.0,1_1
ATIWOP01_ATIWOP,2.3193141900125056,1_1
AWIHUK01_AWIHUK,1.0447914696246698,1_1
AYEDUD01_AYEDUD,0.0,1_1
AZADAG01_AZADAG02,0.0003675696946174867,2_1
AZADAG01_AZADAG,11.152205075065126,1_1
AZADAG02_AZADAG,11.15204754494016,1_1
AZAFAJ01_AZAFAJ,0.023471970113860152,1_2
AZAJAN01_AZAJAN,3.6409383795590884,2_1
AZESEE01_AZESEE,5.2510041655295936e-05,1_2
BADNAY01_BADNAY,0.00010501978482579943,1_1
BANDIF01_BANDIF,5.124162095443808,1_1
BANGOM01_BANGOM02,2.625472234285553e-05,1_1
BANHOO01_BANHOO02,7.088864578008724e-05,1_1
BANHOO01_BANHOO,6.0386458358152595e-05,1_1
BANHOO02_BANHOO,0.00013127510413823984,1_1
BAQBEA01_BAQBEA,1.3828245950397786,2_1
BASVUM01_BASVUM,0.003833230055988679,1_1
BATWOI01_BATWOI,0.3987346840201553,1_1
BATWUP01_BATWUP,2.1061761004730215,1_1
BAWNIW02_BAWNIW07,0.00585486516729361,3_1
BAWNIW02_BAWNIW,0.0037019552503352315,1_1
BAWNIW07_BAWNIW,0.002678010333511338,1_1
BAZKEV01_BAZKEV,5.903646790036873,1_1
BDOTHY01_BDOTHY,7.09977207912425,1_1
BDTOLE13_BDTOLE14,0.08934576513559023,2_1
BECMUT01_BECMUT,0.7372404004071313,1_1
BEDMIG02_BEDMIG03,2.2803780248690373,1_1
BEDMIG02_BEDMIG05,1.858223879582738,1_1
BEDMIG02_BEDMIG06,0.0002625496113068948,1_1
BEDMIG02_BEDMIG17,1.8581451148187398,1_1
