Refcodes,Delta_strain_energy,components
ABADIS_ABADIS01,3.4123308437470428,1_1
ABEFUJ_ABEFUJ01,8.926437449938817,1_1
ABEYOY_ABEYOY01,3.4026480003636834,1_1
ABIZAP_ABIZAP01,2.6255319312440406e-05,2_1
ACAPIE_ACAPIE01,5.731571520238504,1_1
ACRDIN05_ACRDIN06,5.250944468571106e-06,2_1
ACULIV_ACULIV01,1.0982098927351558,1_1
ADIPAC05_ADIPAC12,0.6217971651643097,2_2
AGAQUW_AGAQUW01,0.04290067000511044,1_1
AGOQEU_AGOQEU01,0.4986927210524641,2_1
AHAPEG_AHAPEG01,10.681347904648078,1_1
AHEGEZ_AHEGEZ01,1.7125348851207036,2_2
AMEXOH_AMEXOH01,18.027187095898398,1_1
AMOCMS10_AMOCMS11,1.5971441596210525,1_2
AMUBIV_AMUBIV02,0.1340606555576187,1_1
ANISAZ05_ANISAZ07,0.40564237519430435,2_1
ANONEX_ANONEX01,4.601188749576295,1_1
ANONEX_ANONEX02,1.8740031348622779,1_1
ANONEX01_ANONEX02,6.475191884438573,1_1
ANUKAW_ANUKAW01,0.17241658536761406,1_1
APGPAL_APGPAL01,33.334214415402926,1_1
APLYSU10_APLYSU11,0.4367256696077675,1_1
APUDEV_APUDEV01,0.0,1_1
APUQOT_APUQOT01,1.7521536778208429,1_1
AQEMIT_AQEMIT02,0.6235825050881658,1_1
ATIWOP_ATIWOP01,18.361749310007667,1_1
AWIHUK_AWIHUK01,17.062389359616873,1_1
AYEDUD_AYEDUD01,1.8112536846326748,1_2
AZADAG_AZADAG01,1.7748905103363768,1_2
AZADAG_AZADAG02,0.500997909851435,1_1
AZADAG01_AZADAG02,2.275888420187812,2_1
AZAFAJ_AZAFAJ01,0.11179379033262649,2_1
AZAJAN_AZAJAN01,4.072019224763153,1_1
AZESEE_AZESEE01,4.0457642248294405,2_1
BADNAY_BADNAY01,0.33763929980420926,1_1
BANDIF_BANDIF01,1.9368313504528487,1_1
BANGOM01_BANGOM02,0.48760785997478706,1_1
BANHOO_BANHOO01,2.2288683406683276,1_1
BANHOO_BANHOO02,0.6639364398639032,1_1
BANHOO01_BANHOO02,2.892804780532231,1_1
BAQBEA_BAQBEA01,0.2720543103100681,1_2
BASVUM_BASVUM01,3.984658337829103,1_1
BATWOI_BATWOI01,15.801834301354802,1_1
BATWUP_BATWUP01,2.069419097580976,1_1
BAWNIW_BAWNIW02,0.003570680444681784,1_2
BAWNIW_BAWNIW07,0.0035969351670246397,1_1
BAWNIW02_BAWNIW07,2.625472234285553e-05,2_1
BAZKEV_BAZKEV01,9.892490175081662,1_1
BDOTHY_BDOTHY01,15.908272070423436,1_1
BDTOLE13_BDTOLE14,0.042848159963455146,1_1
BECMUT_BECMUT01,4.521688609191983,1_1
BEDMIG02_BEDMIG03,8.844863164998515,1_1
BEDMIG02_BEDMIG05,7.156587899422561,1_1
BEDMIG02_BEDMIG06,11.01714935478526,1_1
BEDMIG02_BEDMIG17,18.532223025027974,1_1
BEDMIG03_BEDMIG05,1.6882752655759532,1_1
BEDMIG03_BEDMIG06,2.172286189786746,1_1
BEDMIG03_BEDMIG17,9.68735986002946,1_1
BEDMIG05_BEDMIG06,3.8605614553626992,1_1
BEDMIG05_BEDMIG17,11.375635125605413,1_1
BEDMIG06_BEDMIG17,7.515073670242714,1_1
BEFDUO_BEFDUO01,9.190221435553326,1_1
BEHZOF_BEHZOF01,0.5384637950224942,1_1
BEMLOU03_BEMLOU23,15.957053859721213,1_1
BENZIE01_BENZIE02,2.461970732404552,1_1
BESSOJ_BESSOJ01,1.2874139251672432,1_1
BICCIZ_BICCIZ02,2.2464303101010046,1_2
BICCIZ_BICCIZ04,0.754463680339768,1_1
BICCIZ02_BICCIZ04,1.4919666297612366,2_1
BIHXIA_BIHXIA01,2.5387797344972114,2_1
BIINDO_BIINDO01,0.5597067153306625,1_2
BIJFAC02_BIJFAC03,0.03442030573989996,2_1
BILCOO10_BILCOO11,1.0038074152445233,1_1
BILCUW_BILCUW01,2.4823577398097996,1_1
BINMEQ04_BINMEQ12,1.9564438351914077,1_1
BIRKIW02_BIRKIW04,0.0,1_1
BIVRAA_BIVRAA01,1.3007383376410644,1_1
BIXGIY_BIXGIY05,1.5045952855263067,1_1
BIXGIY_BIXGIY06,1.7931902458244622,1_1
BIXGIY05_BIXGIY06,0.28859496029815546,1_1
BIYSEH05_BIYSEH07,11.468341530422094,1_1
BIYSEH05_BIYSEH08,11.60457872574375,1_1
BIYSEH05_BIYSEH13,11.215190820183693,1_1
BIYSEH07_BIYSEH08,0.13623719532165524,1_1
BIYSEH07_BIYSEH13,0.2531507102384012,1_1
BIYSEH08_BIYSEH13,0.3893879055600564,1_1
BOCMOV01_BOCMOV02,0.8381383645584037,1_2
BOFYUT_BOFYUT01,6.773842509057658,1_1
BOFZEE_BOFZEE01,10.067821065074781,1_3
BOGNAP_BOGNAP01,13.279857764069106,1_1
BOGSIC_BOGSIC01,11.397006695247,1_1
BOLCUA_BOLCUA11,3.90652083275711,1_1
BOLHOB_BOLHOB01,0.4856046034676069,1_1
BOLMIZ_BOLMIZ01,2.625472234285553e-06,2_1
BORSEG_BORSEG01,0.13608229037043884,1_1
BORVAG_BORVAG01,3.743130716744588,1_1
BROFRM02_BROFRM03,0.0,1_1
BROFRM02_BROFRM05,0.0,1_1
BROFRM03_BROFRM05,0.0,1_1
BUDREZ_BUDREZ01,1.6144462049146568,1_1
BUFTED_BUFTED01,0.47145840952839535,1_1
BUJBEN_BUJBEN01,4.475899890477649,2_1
BURTIT_BURTIT01,3.9910488038094627,1_1
BURYOC_BURYOC01,2.9737988298405753,1_1
BUVJOT_BUVJOT01,12.382750669892403,1_1
BUVKEJ_BUVKEJ01,2.955622493636895,1_1
BUYHUZ_BUYHUZ01,6.07075986477912,1_1
BUYJAH_BUYJAH02,9.079162784609935,1_1
BUYYID10_BUYYID11,1.3566483604670339,1_2
BZCHOL02_BZCHOL03,0.2110902003028059,1_1
BZCHOL02_BZCHOL04,19.303279864800515,1_1
BZCHOL03_BZCHOL04,19.09218966449771,1_1
BZINDA_BZINDA01,1.4774213595651418,1_1
CABCUD06_CABCUD34,3.1321164800676797,1_1
CACKOJ_CACKOJ01,1.169922799792289,2_2
CACKOJ_CACKOJ03,1.1213247947448508,2_1
CACKOJ01_CACKOJ03,0.048598005047438164,2_1
CAFCUK_CAFCUK01,23.77458512991666,1_2
CAFNUU_CAFNUU01,3.2719768652787025,1_1
