Refcodes,Delta_conformational_energy(kJ/mol),components
ABADIS01_ABADIS,5.348810377040195,1_1
ABEFUJ01_ABEFUJ,13.411605355306506,1_1
ABEYOY01_ABEYOY,3.5747232701620533,1_1
ABIZAP01_ABIZAP,7.876536096773634e-05,1_2
ACAPIE01_ACAPIE,0.24222862993167382,1_1
ACRDIN05_ACRDIN06,0.0001444024653096676,2_1
ACULIV01_ACULIV,1.4877369495175685,1_1
ADIPAC05_ADIPAC12,0.1784053505143106,2_2
AGAQUW01_AGAQUW,7.876476399815147e-05,1_1
AGOQEU01_AGOQEU,0.00022579300002689706,1_2
AHAPEG01_AHAPEG,5.250944468571106e-05,1_1
AHEGEZ01_AHEGEZ,0.0004200803332423675,1_2
AMEXOH01_AMEXOH,9.485007324151127,1_1
AMOCMS10_AMOCMS11,5.407059720102666,1_1
AMUBIV02_AMUBIV,2.888049306193352e-05,1_1
ANISAZ05_ANISAZ07,1.3146797423581233,1_1
ANONEX01_ANONEX02,5.182815764812176,1_1
ANONEX01_ANONEX,3.7664372800182946,2_1
ANONEX02_ANONEX,5.182868274853831,1_1
ANUKAW01_ANUKAW,0.029510620128462506,1_1
APGPAL01_APGPAL,7.648632855230858,1_1
APLYSU10_APLYSU11,2.625472234285553e-05,1_1
APUDEV01_APUDEV,40.117534980114215,1_1
APUQOT01_APUQOT,0.7879913153715279,1_1
AQEMIT02_AQEMIT,2.068972764913269,1_1
ATIWOP01_ATIWOP,2.3447027745573905,1_1
AWIHUK01_AWIHUK,4.126865919991815,1_1
AYEDUD01_AYEDUD,5.2510041655295936e-05,2_1
AZADAG01_AZADAG02,0.6221909898797549,1_1
AZADAG01_AZADAG,0.16186207535247377,1_1
AZADAG02_AZADAG,0.4603289145272811,1_1
AZAFAJ01_AZAFAJ,0.3001996699524625,1_2
AZAJAN01_AZAJAN,4.296762024553914,2_1
AZESEE01_AZESEE,0.0541378099648,2_1
BADNAY01_BADNAY,0.0008139050486875021,1_1
BANDIF01_BANDIF,3.125027629816941,1_1
BANGOM01_BANGOM02,0.0014177705277234054,1_1
BANHOO01_BANHOO02,0.0002179165833240404,1_1
BANHOO01_BANHOO,7.87650624829439e-05,1_1
BANHOO02_BANHOO,0.0001391515208410965,1_1
BAQBEA01_BAQBEA,0.004463349958882645,2_1
BASVUM01_BASVUM,0.061544345639219955,1_1
BATWOI01_BATWOI,2.001786220044096,1_1
BATWUP01_BATWUP,3.83480529634744,1_1
BAWNIW02_BAWNIW07,0.004358330472541638,2_1
BAWNIW02_BAWNIW,0.004725900167159125,2_1
BAWNIW07_BAWNIW,0.0003675696946174867,1_1
BAZKEV01_BAZKEV,4.762893295400772,1_1
BDOTHY01_BDOTHY,3.972250224418076,1_1
BDTOLE13_BDTOLE14,0.07188619031398957,2_1
BECMUT01_BECMUT,2.3701963797825556,1_1
BEDMIG02_BEDMIG03,1.356832144717373,1_1
BEDMIG02_BEDMIG05,0.23049264487474375,1_1
BEDMIG02_BEDMIG06,0.00034131497227463115,1_1
BEDMIG02_BEDMIG17,0.2303613700690903,1_2
BEDMIG03_BEDMIG05,1.5873247895921168,1_1
BEDMIG03_BEDMIG06,1.3571734596896476,1_1
BEDMIG03_BEDMIG17,1.5871935147864633,1_2
BEDMIG05_BEDMIG06,0.23015132990246912,1_1
BEDMIG05_BEDMIG17,0.00018378484730874334,1_1
BEDMIG06_BEDMIG17,0.23002005509681567,1_2
BEFDUO01_BEFDUO,5.2510041655295936e-05,1_1
BEHZOF01_BEHZOF,2.7132179549761304,1_1
BEMLOU03_BEMLOU23,9.983673790481248,1_1
BENZIE01_BENZIE02,6.25201125734236,2_2
BESSOJ01_BESSOJ,8.86187640476453,1_1
BICCIZ02_BICCIZ04,1.7873878901018543,2_1
BICCIZ02_BICCIZ,1.7874929101851649,2_1
BICCIZ04_BICCIZ,0.00036757029158707155,2_1
BIHXIA01_BIHXIA,0.0004200803332423675,1_2
BIINDO01_BIINDO,2.1004076359076862e-05,1_1
BIJFAC02_BIJFAC03,21.025817904797464,1_1
BILCOO10_BILCOO11,0.1763810902292562,1_1
BILCUW01_BILCUW,4.140360989951773,1_1
BINMEQ04_BINMEQ12,5.164358499796094,1_2
BIRKIW02_BIRKIW04,0.0,1_1
BIVRAA01_BIVRAA,12.186000951160509,1_1
BIXGIY05_BIXGIY06,0.00021003956965159887,1_1
BIXGIY05_BIXGIY,2.0219763146438936,1_1
BIXGIY06_BIXGIY,2.021766275074242,1_1
BIYSEH05_BIYSEH07,7.876476399815147e-05,1_1
BIYSEH05_BIYSEH08,2.6255319312440406e-05,1_1
BIYSEH05_BIYSEH13,5.2510041655295936e-05,1_1
BIYSEH07_BIYSEH08,5.250944468571106e-05,1_1
BIYSEH07_BIYSEH13,2.625472234285553e-05,1_1
BIYSEH08_BIYSEH13,2.625472234285553e-05,1_1
BOCMOV01_BOCMOV02,0.000997690194481038,1_1
BOFYUT01_BOFYUT,2.69654602958542,1_1
BOFZEE01_BOFZEE,0.5432947146759943,2_1
BOGNAP01_BOGNAP,3.992361554850845,1_1
BOGSIC01_BOGSIC,3.078530024644806,1_1
BOLCUA11_BOLCUA,0.24676286823785176,1_1
BOLHOB01_BOLHOB,0.6552250310572276,1_1
BOLMIZ01_BOLMIZ,0.00017328295837160113,1_2
BORSEG01_BORSEG,0.6100296741420834,1_1
BORVAG01_BORVAG,11.328357746523636,1_1
BROFRM02_BROFRM03,0.0073776557783276075,1_1
BROFRM02_BROFRM05,0.030692095170252287,1_1
BROFRM03_BROFRM05,0.02331443939192468,1_1
BUDREZ01_BUDREZ,0.287807309673326,1_1
BUFTED01_BUFTED,1.7657301404049122,2_1
BUJBEN01_BUJBEN,4.61612784478632,1_1
BURTIT01_BURTIT,0.11497064456943917,1_1
BURYOC01_BURYOC,0.07992021952361483,1_1
BUVJOT01_BUVJOT,2.0890053299850706,1_1
BUVKEJ01_BUVKEJ,0.0035312974657131235,1_1
BUYHUZ01_BUYHUZ,3.19602115001976,1_1
BUYJAH02_BUYJAH,0.00023629488896403927,1_1
BUYYID10_BUYYID11,3.309810320144379,1_2
BZCHOL02_BZCHOL03,0.003780720014333383,1_1
BZCHOL02_BZCHOL04,0.8908584045924499,1_1
BZCHOL03_BZCHOL04,0.8870776845781165,1_1
BZINDA01_BZINDA,1.8036397345623527,1_1
CABCUD06_CABCUD34,0.8012238351232099,1_1
CACKOJ01_CACKOJ03,7.152649649880232,1_1
CACKOJ01_CACKOJ,0.1842313351885423,2_2
CACKOJ03_CACKOJ,7.335935804915948,1_2
CAFCUK01_CAFCUK,32.155890014915485,1_1
CAFNUU01_CAFNUU,6.466396459326461,1_1
CAFPEG01_CAFPEG,5.260110484043935,1_1
CAPLEK02_CAPLEK,0.18599041949460116,1_1
CEJGAC01_CEJGAC,10.99711678971346,1_1
