Refcodes,Delta_strain_energy,components
ABADIS_ABADIS01,3.1429519185967365,1_1
ABEFUJ_ABEFUJ01,14.948861859281806,1_1
ABEYOY_ABEYOY01,2.587167699974998,1_1
ABIZAP_ABIZAP01,0.0,1_1
ACAPIE_ACAPIE01,2.909526589596908,1_1
ACRDIN05_ACRDIN06,5.250944468571106e-06,2_1
ACULIV_ACULIV01,2.0858993634985836,1_1
ADIPAC05_ADIPAC12,0.3970202333390489,2_1
AGAQUW_AGAQUW01,0.1290170702652631,1_1
AGOQEU_AGOQEU01,0.4660236243958593,2_1
AHAPEG_AHAPEG01,7.352108885806388,1_1
AHEGEZ_AHEGEZ01,1.5560813398799382,2_2
AMEXOH_AMEXOH01,12.13444925880708,1_1
AMOCMS10_AMOCMS11,0.9261713804435203,1_2
AMUBIV_AMUBIV02,0.25747753385019223,1_1
ANISAZ05_ANISAZ07,0.27818485244984004,2_1
ANONEX_ANONEX01,4.251078324728951,1_1
ANONEX_ANONEX02,1.7578510146540793,1_1
ANONEX01_ANONEX02,2.4932273100748716,1_1
ANUKAW_ANUKAW01,0.39584663531093156,1_1
APGPAL_APGPAL01,7.944763000238368,1_1
APLYSU10_APLYSU11,0.28799109511760435,1_1
APUDEV_APUDEV01,0.0,1_1
APUQOT_APUQOT01,3.214819730605086,1_1
AQEMIT_AQEMIT02,1.4964562350394317,1_1
ATIWOP_ATIWOP01,20.49475802027564,1_1
AWIHUK_AWIHUK01,2.9758467202711927,1_1
AYEDUD_AYEDUD01,1.5423499750310157,1_1
AZADAG_AZADAG01,2.2859178291894295,1_2
AZADAG_AZADAG02,2.5931538393509754,1_1
AZADAG01_AZADAG02,0.3072360101615459,2_1
AZAFAJ_AZAFAJ01,2.078923410344828,1_1
AZAJAN_AZAJAN01,3.9190575946061017,1_1
AZESEE_AZESEE01,4.517120240343729,1_1
BADNAY_BADNAY01,0.717129070272847,1_1
BANDIF_BANDIF01,0.5213192804508253,1_1
BANGOM01_BANGOM02,0.4745853803897262,1_1
BANHOO_BANHOO01,1.6405095435843577,1_1
BANHOO_BANHOO02,0.6354103822702655,1_1
BANHOO01_BANHOO02,2.275919925854623,1_1
BAQBEA_BAQBEA01,0.0,1_1
BASVUM_BASVUM01,5.119291792811339,1_1
BATWOI_BATWOI01,10.680560255217188,1_1
BATWUP_BATWUP01,1.289120501819525,1_1
BAWNIW_BAWNIW02,0.00021004016662118374,1_2
BAWNIW_BAWNIW07,0.00018378544427832821,1_1
BAWNIW02_BAWNIW07,2.625472234285553e-05,2_1
BAZKEV_BAZKEV01,4.03442206478644,1_1
BDOTHY_BDOTHY01,10.586856160206025,1_1
BDTOLE13_BDTOLE14,0.05723590003458412,1_1
BECMUT_BECMUT01,3.8401613199993108,1_1
BEDMIG02_BEDMIG03,8.113766434689296,1_1
BEDMIG02_BEDMIG05,3.8683066802386747,1_1
BEDMIG02_BEDMIG06,1.8233309846618795,1_1
BEDMIG02_BEDMIG17,12.144801605072303,1_1
BEDMIG03_BEDMIG05,4.245459754450621,1_1
BEDMIG03_BEDMIG06,9.937097419351176,1_1
BEDMIG03_BEDMIG17,4.0310351703830065,1_1
BEDMIG05_BEDMIG06,5.691637664900554,1_1
BEDMIG05_BEDMIG17,8.276494924833628,1_1
BEDMIG06_BEDMIG17,13.968132589734182,1_1
BEFDUO_BEFDUO01,6.028699354843525,1_1
BEHZOF_BEHZOF01,1.2702694099986047,1_1
BEMLOU03_BEMLOU23,17.9975136947005,1_1
BENZIE01_BENZIE02,2.343634196314099,1_1
BESSOJ_BESSOJ01,0.6035761953356769,1_1
BICCIZ_BICCIZ02,6.186465649334764,1_2
BICCIZ_BICCIZ04,5.363555184320035,1_2
BICCIZ02_BICCIZ04,0.8229104650147292,2_2
BIHXIA_BIHXIA01,1.986873379556414,2_1
BIINDO_BIINDO01,0.15970653936631152,1_2
BIJFAC02_BIJFAC03,18.55535368016956,2_1
BILCOO10_BILCOO11,1.8558084200544727,1_1
BILCUW_BILCUW01,2.0619626800234983,1_1
BINMEQ04_BINMEQ12,1.496272450192123,1_1
BIRKIW02_BIRKIW04,0.0,1_1
BIVRAA_BIVRAA01,0.661962063849785,1_1
BIXGIY_BIXGIY05,0.47920626047357473,1_1
BIXGIY_BIXGIY06,0.9993440646886711,1_1
BIXGIY05_BIXGIY06,1.4785503251622458,1_1
BIYSEH05_BIYSEH07,10.552540875743375,1_1
BIYSEH05_BIYSEH08,11.330187720072445,1_1
BIYSEH05_BIYSEH13,11.47154463997822,1_1
BIYSEH07_BIYSEH08,0.7776468443290696,1_1
BIYSEH07_BIYSEH13,0.9190037642348443,1_1
BIYSEH08_BIYSEH13,0.1413569199057747,1_1
BOCMOV01_BOCMOV02,0.7925334300944087,1_1
BOFYUT_BOFYUT01,3.0021017196079356,1_1
BOFZEE_BOFZEE01,8.972830034430672,1_3
BOGNAP_BOGNAP01,9.711304419921248,1_1
BOGSIC_BOGSIC01,10.14955287954308,1_1
