filename,energy
ABADIS01_m_1_gas_R,-838.509718159
ABADIS01_m_1_gas_xR,-838.512341112
ABADIS01_m_1_water_R,-838.537023279
ABADIS01_m_1_water_xR,-838.537232726
ABADIS_m_1_gas_R,-838.511237635
ABADIS_m_1_gas_xR,-838.5125609
ABADIS_m_1_water_R,-838.537863446
ABADIS_m_1_water_xR,-838.53926998
ABEFUJ01_m_1_gas_R,-1141.56241693
ABEFUJ01_m_1_gas_xR,-1141.56594064
ABEFUJ01_m_1_water_R,-1141.58417533
ABEFUJ01_m_1_water_xR,-1141.59036107
ABEFUJ_m_1_gas_R,-1141.57164672
ABEFUJ_m_1_gas_xR,-1141.57177053
ABEFUJ_m_1_water_R,-1141.59497726
ABEFUJ_m_1_water_xR,-1141.59546928
ABEYOY01_m_1_gas_R,-1495.53401141
ABEYOY01_m_1_gas_xR,-1495.53530741
ABEYOY01_m_1_water_R,-1495.56660024
ABEYOY01_m_1_water_xR,-1495.56758564
ABEYOY_m_1_gas_R,-1495.53443554
ABEYOY_m_1_gas_xR,-1495.53443554
ABEYOY_m_1_water_R,-1495.5662241
ABEYOY_m_1_water_xR,-1495.5662241
ABIZAP01_m_1_gas_R,-1102.71135606
ABIZAP01_m_1_gas_xR,-1102.71135606
ABIZAP01_m_1_water_R,-1102.7284435
ABIZAP01_m_1_water_xR,-1102.7284435
ABIZAP01_m_2_gas_R,-1102.71135607
ABIZAP01_m_2_gas_xR,-1102.71135607
ABIZAP01_m_2_water_R,-1102.72844351
ABIZAP01_m_2_water_xR,-1102.72844351
ABIZAP_m_1_gas_R,-1102.71135607
ABIZAP_m_1_gas_xR,-1102.71135607
ABIZAP_m_1_water_R,-1102.72844351
ABIZAP_m_1_water_xR,-1102.72844351
ABIZAP_m_2_gas_R,-1102.71135608
ABIZAP_m_2_gas_xR,-1102.71135607
ABIZAP_m_2_water_R,-1102.72844353
ABIZAP_m_2_water_xR,-1102.72844353
ACAPIE01_m_1_gas_R,-1261.87407051
ACAPIE01_m_1_gas_xR,-1261.87657061
ACAPIE01_m_1_water_R,-1261.88937296
ACAPIE01_m_1_water_xR,-1261.88994514
ACAPIE_m_1_gas_R,-1261.87625341
ACAPIE_m_1_gas_xR,-1261.87657047
ACAPIE_m_1_water_R,-1261.88835704
